ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
343,Loch Snizort (Uig Bay),Scotland,"Loch Snizort, United Kingdom",57.566667,-6.466666999999999,,United Kingdom,done
384,Loch Beag,Scotland,"Loughbeg, Co. Tipperary, Ireland",52.67015379999999,-7.7579826,,Ireland,done
0399C,Lochgoilhead,Scotland,"Lochgoilhead, Cairndow PA24, UK",56.170641,-4.900365,Lochgoilhead,United Kingdom,done
313,Loch Boisdale,Scotland,"Lochboisdale, Isle of South Uist HS8, UK",57.153218,-7.308006000000001,Lochboisdale,United Kingdom,done
311,Lochmaddy,Scotland,"Lochmaddy, Isle of North Uist HS6, UK",57.6045975,-7.162211699999999,Lochmaddy,United Kingdom,done
0311A,Loch Carnan,Scotland,"Isle of South Uist HS8 5PD, UK",57.3700132,-7.2887489,,United Kingdom,done
2919,Lockeport,Canada,"Lockeport, NS, Canada",43.6997765,-65.1137992,Lockeport,Canada,done
0370B,Loch Creran Head,Scotland,"Loch Creran, United Kingdom",56.5282884,-5.3429918,,United Kingdom,done
1628A,Locquirec,France,"Locquirec, France",48.692623,-3.645083,Locquirec,France,done
344,Loch Dunvegan,Scotland,"Loch Dunvegan, United Kingdom",57.4749355,-6.6413183,,United Kingdom,done
1645,Loctudy,France,"29750 Loctudy, France",47.83044,-4.168061,Loctudy,France,done
356,Loch Eatharna,Scotland,,,,,,not_found
1187,Lodingen,Norway,"Lodingen, Norway",68.41415429999999,15.9943948,Lodingen,Norway,done
0368A,Loch Eil Head,Scotland,"Achdalieu PH33 7NN, UK",56.8564583,-5.1876805,,United Kingdom,done
7094A,Lok On Pai,China,"Tsing Fat St, Tuen Mun, Hong Kong",22.3625589,114.0011092,,Hong Kong,done
345,Loch Harport,Scotland,"Loch Harport, United Kingdom",57.31617780000001,-6.362661600000001,,United Kingdom,done
1261,Lokksund,Norway,"Hokksund, Norway",59.7707469,9.910865099999999,Hokksund,Norway,done
352,Loch Hourn,Scotland,"Loch Hourn, United Kingdom",57.1397,-5.7343058,,United Kingdom,done
5654,Lolomo Passage,Solomon Islands,,,,,,not_found
332,Loch Inver,Scotland,"Lochinver, Lairg IV27, UK",58.1466612,-5.239685499999999,Lochinver,United Kingdom,done
3630,LOME,Togo,"Lome, Togo",6.1724969,1.2313618,Lome,Togo,done
328,Loch Laxford,Scotland,"Loch Laxford, East Kilbride, Glasgow G74 2DL, UK",55.7587128,-4.1575529,East Kilbride,United Kingdom,done
113,LONDON BRIDGE (TOWER PIER),England,"Tower Bridge, Tower Bridge Rd, London SE1 2UP, UK",51.5054564,-0.07535649999999999,,United Kingdom,done
659,Londonderry,Northern Ireland,"Londonderry, NH, USA",42.86512980000001,-71.3739272,Londonderry,United States,done
2508,Los Arroyos,Cuba,"Los Arroyos, Sahuarita, AZ, USA",31.91586179999999,-110.9819586,Sahuarita,United States,done
9351A,Long Beach,United States,"Long Beach, CA, USA",33.7700504,-118.1937395,Long Beach,United States,done
